index,Time,Open,High,Low,Close,Daily,Range,ADR,ADR_min,Fractal,Swing_Price,Swing_Type,Hour,Swing_Difference,Time_Difference,Retracement,pip_move,end_index,Swing_Length,Next_Swing,Largest_bar
441,2015-02-10 14:15:00,1.13223,1.1337,1.13035,1.13093,2015-02-10 00:00:00,0.00335,0.00353375,0.00707,U,1.1337,F,14,0.00647,0,0.787104623,0.00647,443,2,F,0.00643
443,2015-02-10 14:45:00,1.12973,1.13029,1.12813,1.1288,2015-02-10 00:00:00,0.00216,0.00353375,0.00707,D,1.12813,F,14,-0.00557,0,0.860896445,0.00557,497,2,F,0.00643
497,2015-02-11 04:15:00,1.13268,1.13308,1.1325,1.1329,2015-02-11 00:00:00,0.00058,0.00321725,0.00643,U,1.13308,F,4,0.00495,1,0.888689408,0.00495,557,54,T,0.00353
557,2015-02-11 19:15:00,1.12841,1.12875,1.12793,1.12799,2015-02-11 00:00:00,0.00082,0.00321725,0.00643,D,1.12793,T,19,-0.00515,1,1.04040404,0.00515,576,60,E,0.00275
576,2015-02-12 00:00:00,1.13365,1.13514,1.13334,1.13379,2015-02-12 00:00:00,0.0018,0.00311825,0.00624,U,1.13514,E,0,0.00721,0,1.4,0.00721,582,19,S,0.00543
582,2015-02-12 01:30:00,1.13042,1.13154,1.13015,1.13115,2015-02-12 00:00:00,0.00139,0.00311825,0.00624,D,1.13015,S,1,-0.00499,0,0.692094313,0.00499,618,6,F,0.00424
618,2015-02-12 10:30:00,1.13388,1.13493,1.13261,1.13275,2015-02-12 00:00:00,0.00232,0.00311825,0.00624,U,1.13493,F,10,0.00478,0,0.957915832,0.00478,619,36,F,0.00363
619,2015-02-12 10:45:00,1.13277,1.133,1.1318,1.1322,2015-02-12 00:00:00,0.0012,0.00311825,0.00624,D,1.1318,F,10,-0.00313,0,0.654811715,0.00313,638,1,T,0.00313
638,2015-02-12 15:30:00,1.13325,1.13742,1.13321,1.13647,2015-02-12 00:00:00,0.00421,0.00311825,0.00624,U,1.13742,T,15,0.00562,0,1.795527157,0.00562,640,19,S,0.00463
640,2015-02-12 16:00:00,1.13502,1.13583,1.13264,1.13398,2015-02-12 00:00:00,0.00319,0.00311825,0.00624,D,1.13264,S,16,-0.00478,0,0.850533808,0.00478,651,2,T,0.00463
651,2015-02-12 18:45:00,1.14147,1.14223,1.14072,1.14072,2015-02-12 00:00:00,0.00151,0.00311825,0.00624,U,1.14223,T,18,0.00959,0,2.006276151,0.00959,657,11,S,0.00501
657,2015-02-12 20:15:00,1.13896,1.13896,1.13777,1.13841,2015-02-12 00:00:00,0.00119,0.00311825,0.00624,D,1.13777,S,20,-0.00446,0,0.465067779,0.00446,712,6,T,0.00322
712,2015-02-13 10:00:00,1.14282,1.14423,1.14262,1.14339,2015-02-13 00:00:00,0.00161,0.00315475,0.00631,U,1.14423,T,10,0.00646,1,1.448430493,0.00646,732,55,S,0.00223
732,2015-02-13 15:00:00,1.13804,1.13885,1.13788,1.1381,2015-02-13 00:00:00,0.00097,0.00315475,0.00631,D,1.13788,S,15,-0.00635,0,0.982972136,0.00635,740,20,F,0.00223
740,2015-02-13 17:00:00,1.14041,1.14314,1.14036,1.14206,2015-02-13 00:00:00,0.00278,0.00315475,0.00631,U,1.14314,F,17,0.00526,0,0.828346457,0.00526,767,8,F,0.00304
767,2015-02-13 23:45:00,1.1392,1.13936,1.1384,1.13913,2015-02-13 00:00:00,0.00096,0.00315475,0.00631,D,1.1384,F,23,-0.00474,0,0.901140684,0.00474,807,27,F,0.00304
807,2015-02-16 09:45:00,1.14142,1.14285,1.14137,1.14279,2015-02-16 00:00:00,0.00148,0.0031,0.0062,U,1.14285,F,9,0.00445,2,0.938818565,0.00445,849,40,T,0.002
849,2015-02-16 20:15:00,1.13375,1.13375,1.13188,1.13217,2015-02-16 00:00:00,0.00187,0.0031,0.0062,D,1.13188,T,20,-0.01097,0,2.465168539,0.01097,858,42,S,0.00404
858,2015-02-16 22:30:00,1.13464,1.13589,1.134,1.1346,2015-02-16 00:00:00,0.00189,0.0031,0.0062,U,1.13589,S,22,0.00401,0,0.365542388,0.00401,874,9,F,0.00404
874,2015-02-17 02:30:00,1.13337,1.13344,1.13211,1.13284,2015-02-17 00:00:00,0.00133,0.0032065,0.00641,D,1.13211,F,2,-0.00378,0,0.942643392,0.00378,919,16,T,0.00205
919,2015-02-17 13:45:00,1.1421,1.14484,1.14201,1.14384,2015-02-17 00:00:00,0.00283,0.0032065,0.00641,U,1.14484,T,13,0.01273,0,3.367724868,0.01273,934,45,S,0.00408
934,2015-02-17 17:30:00,1.13841,1.13909,1.13806,1.13896,2015-02-17 00:00:00,0.00103,0.0032065,0.00641,D,1.13806,S,17,-0.00678,0,0.532600157,0.00678,944,15,F,0.00379
